ID в ИС ГТИБД,Название,Название (англ.),Адрес (ручной),Дом,Район,Округ,Город,Улица,Адрес,Ближайшее метро,Ближайшая линия метро,Расстояние до метро,Метро (широта),Метро (долгота),Телефоны,Сайт,Email,Кухня,Доступно для людей с ограниченными возможностями,Геопозиция (широта),Геопозиция (долгота)
763,Абердин,Abeerdeen,"Санкт-Петербург Литейный пр.,10",10,Центральный,муниципальный округ Литейный,Санкт-Петербург,Литейный проспект,"Санкт-Петербург, Литейный проспект, 10",Чернышевская,Кировско-Выборгская линия,748,59.944436,30.359975,(812) 400-22-17,http://www.abeerdeen.ru/,info@abeerdeen.ru,"Шотландская, Европейская",0,59.945909,30.349708
764,Alex House,Alex House,"Петергоф, Санкт-Петербургский проспект, дом 44.",44,Петродворцовый,,Санкт-Петербург,Санкт-Петербургский проспект,"Санкт-Петербург, Петергоф, Санкт-Петербургский проспект, 44",,,1,,,(812) 420-57-41,http://www.alexhouse-petergof.ru/,mail@alexhouse-petergof.ru,"Европейская, Русская",0,59.879453,29.908105
765,Allegro / Аллегро,Allegro,"Санкт-Петербург, наб. канала Грибоедова, д. 55",55,Адмиралтейский,муниципальный округ Сенной,Санкт-Петербург,набережная канала Грибоедова,"Санкт-Петербург, набережная канала Грибоедова, 55",Садовая,Фрунзенско-Приморская линия,375,59.926413,30.318285,"(812) 315-94-45, 8-964-384-71-70, (812) 314-99-60",http://allegrorest.ru/,,"Итальянская, Европейская, Русская",0,59.929502,30.31567
766,Amarena / Амарена,Amarena,"Санкт-Петербург, ул. Гаккелевская, 21А",21а,Приморский,муниципальный округ Озеро Долгое,Санкт-Петербург,Гаккелевская улица,"Санкт-Петербург, Гаккелевская улица, 21а",Комендантский Проспект,Фрунзенско-Приморская линия,1043,60.008428,30.259077,"92-814-92, 318-01-85",http://www.amarena.su,sapotkina@mail.ru,"Итальянская, Русская, Японская",0,59.999863,30.256373
767,Амулет,Amulet,"Санкт-Петербург, ул. Восстания, д. 35/40",35,Центральный,муниципальный округ Смольнинское,Санкт-Петербург,улица Восстания,"Санкт-Петербург, улица Восстания, 35",Чернышевская,Кировско-Выборгская линия,677,59.944436,30.359975,"(812) 273-34-63, 945-61-72, 579-07-78",https://vk.com/amulet35,restoran35@yandex.ru,"Восточная, Домашняя, Европейская, Итальянская",0,59.938996,30.360784
768,Andante,Andante,"Санкт-Петербург, Мытнинская набережная д.3",3,Петроградский,муниципальный округ Введенский,Санкт-Петербург,Мытнинская набережная,"Санкт-Петербург, Мытнинская набережная, 3",Спортивная,Фрунзенско-Приморская линия,1102,59.951772,30.290688,"498 11  62, +7 921 767 56 44",http://andante-spb.ru/,4981162@mail.ru,"Русская, Европейская,Авторская",0,59.948744,30.306364
769,Avant Garde,Avant Garde,"Санкт-Петербург, Московский пр., д. 97 А",97,Московский,муниципальный округ Московская Застава,Санкт-Петербург,Московский проспект,"Санкт-Петербург, Московский проспект, 97",Московские Ворота,Московско-Петроградская линия,280,59.891494,30.31797,(812) 448-20-55,http://www.hi-spb.com/ru/dining_restraunts_bars.php,,"Европейская, Русская",0,59.893186,30.316748
770,FOOD CLUB ARENA,FOOD CLUB ARENA,"Санкт-Петербург, ул. Вязовая, д.10",10,Петроградский,муниципальный округ Чкаловское,Санкт-Петербург,Вязовая улица,"Санкт-Петербург, Вязовая улица, 10",Крестовский Остров,Фрунзенско-Приморская линия,1263,59.971708,30.259481,+7(812)4484610;+7(812)4486670;,http://www.fc-arena.ru/,,"Европейская, Русская",0,59.967155,30.274501
771,Абрикос,Abrikos,"Санкт-Петербург, пр. Энгельса, 96",96,Выборгский,муниципальный округ Светлановское,Санкт-Петербург,проспект Энгельса,"Санкт-Петербург, проспект Энгельса, 96",Удельная,Московско-Петроградская линия,1184,60.016604,30.315823,(812) 643-12-40,http://abrikosrestoran.ru/,info@abrikos.ru,"Авторская, Европейская, Кавказская",0,60.024787,30.317755
772,Адмиралтейство,Admiralty,"г. Пушкин, Екатерининский парк, Садовая ул., д.7",7,Пушкинский,,Санкт-Петербург,Садовая улица,"Санкт-Петербург, Пушкин, Садовая улица, 7",,,1,,,(812) 465-35-49,http://admiral.gutsait.ru,,"Европейская, Русская, Тайская",0,59.716052,30.395612
773,Аларчин мост,Alarchin most,"Санкт-Петербург, Римского Корсакова, д.73/33",73/33,Адмиралтейский,муниципальный округ Коломна,Санкт-Петербург,проспект Римского-Корсакова,"Санкт-Петербург, проспект Римского-Корсакова, 73/33",Балтийская,Кировско-Выборгская линия,2373,59.907149,30.299564,8 (812) 714-84-86 8 (812) 713-78-98,http://alarchin-most.nethouse.ru/,,"Европейская, Смешанная",0,59.921141,30.285828
774,Амадеус,Amadeus,"Санкт-Петербург, Кирочная ул., д. 36",36,Центральный,муниципальный округ Смольнинское,Санкт-Петербург,Кирочная улица,"Санкт-Петербург, Кирочная улица, 36",Чернышевская,Кировско-Выборгская линия,348,59.944436,30.359975,"(812) 272-09-35, 8 (903) 092-98-86, 8 (921) 324-45-59",http://amadeusspb.ru/,restoranamadeus@yandex.ru,"Авторская, Европейская, Русская",0,59.943945,30.364656
775,Амроц на Невском,Amrots Nevsky,"Санкт-Петербург, Невский пр., д. 176, лит. А",176,Центральный,муниципальный округ Смольнинское,Санкт-Петербург,Невский проспект,"Санкт-Петербург, Невский проспект, 176",Площадь Александра Невского 2,Правобережная линия,326,59.923563,30.383421,"274-25-14, 274-19-43",http://nevsky.amrots.ru/ru/,amrots-info@mail.ru,Армянская,0,59.925453,30.38131
776,Амроц на Передовиков,Amrots Peredovikov,"Санкт-Петербург, ул. Передовиков, дом 27",27,Красногвардейский,муниципальный округ Пороховые,Санкт-Петербург,улица Передовиков,"Санкт-Петербург, улица Передовиков, 27",,,1,,,"529-19-45, 909-71-83",http://peredovicov.amrots.ru/ru/,amrots-info@mail.ru,Армянская,0,59.949438,30.461521
777,Арка,Arka,"Санкт-Петербург, ул.Большая Конюшенная,27",27,Центральный,муниципальный округ Дворцовый,Санкт-Петербург,Большая Конюшенная улица,"Санкт-Петербург, Большая Конюшенная улица, 27",Невский Проспект,Московско-Петроградская линия,382,59.935421,30.327052,8(812) 339-89-39,http://www.arka.spb.ru/ru/,,"Европейская, Русская",0,59.936828,30.322246
778,Арт-БуфетЪ,,"Санкт-Петербург, ул. Большая Морская, д. 38",38,Адмиралтейский,муниципальный округ Адмиралтейский,Санкт-Петербург,Большая Морская улица,"Санкт-Петербург, Большая Морская улица, 38",Адмиралтейская,Фрунзенско-Приморская линия,474,59.935867,30.31523,8(812)944-22-04  8(812)314-19-06,http://artbufet.com/,,"Европейская, Русская, Авторская",0,59.93296,30.311386
779,Атлантис,Atlantis,"посёлок Солнечное, пляж ""Ласковый"", дом. 1",,Курортный,,Санкт-Петербург,,"Санкт-Петербург, поселок Солнечное",,,1,,,(812) 432-90-60,http://www.atlantisrest.ru/,atlantis-rest@mail.ru,"Европейская, Авторская",0,60.149466,29.952778
781,Афиет,Afiet,"Санкт-Петербург, Тихорецкий проспект, дом 43; Санкт-Петербург Петергофское шоссе дом 51, ТЦ Жемчужная Плаза. 1 этаж",,Калининский,муниципальный округ Академический,Санкт-Петербург,Тихорецкий проспект,"Санкт-Петербург, Тихорецкий проспект",Политехническая,Кировско-Выборгская линия,1486,60.008842,30.370854,(812) 331-43-43,http://www.afiyet.ru/,,"Восточная, Турецкая",0,60.021105,30.367216
782,Баку,Baky,"Санкт-Петербург, Садовая ул., 12/23",12,Центральный,муниципальный округ Дворцовый,Санкт-Петербург,Садовая улица,"Санкт-Петербург, Садовая улица, 12",Гостиный Двор,Невско-Василеостровская линия,167,59.933938,30.333745,"941-37-56, 910 - 76 -25, ф.571-91-23",http://baku-spb.ru/,baku-spb@mail.ru,"Азербайджанская, Восточная, Европейская, Русская",0,59.934898,30.336305
